Review_Day,Review_Count,Avg_Rating,Negative_Count,Negative_Rate,Dominant_Category,Rolling_7d_Avg,Flag_Static,Flag_Rolling,Burst_Detected
2024-03-07,1,2.0,1,100.0,Waiting Time,1.14,False,False,False
2024-03-09,1,2.0,1,100.0,Communication,1.14,False,False,False
2024-03-14,1,2.0,1,100.0,Communication,1.14,False,False,False
2024-03-15,1,2.0,1,100.0,Pricing,1.0,False,False,False
2024-03-18,1,4.0,0,0.0,Positive,1.0,False,False,False
2024-03-20,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-03-22,2,2.0,2,100.0,Pricing,1.0,False,False,False
2024-03-26,1,2.0,1,100.0,Communication,1.14,False,False,False
2024-03-28,1,3.0,0,0.0,Neutral,1.14,False,False,False
2024-03-29,1,2.0,1,100.0,Pricing,1.14,False,False,False
2024-03-31,1,4.0,1,100.0,Treatment,1.14,False,False,False
2024-04-02,1,4.0,0,0.0,Positive,1.14,False,False,False
2024-04-08,1,4.0,1,100.0,Staff,1.14,False,False,False
2024-04-09,1,2.0,1,100.0,Waiting Time,1.14,False,False,False
2024-04-14,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2024-04-17,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-04-18,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-04-20,1,4.0,1,100.0,Communication,1.0,False,False,False
2024-04-22,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-04-23,1,3.0,0,0.0,Neutral,1.0,False,False,False
2024-04-25,1,2.0,1,100.0,Pricing,1.0,False,False,False
2024-04-29,1,2.0,1,100.0,Pricing,1.0,False,False,False
2024-04-30,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-05-03,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2024-05-04,1,3.0,1,100.0,Communication,1.0,False,False,False
2024-05-08,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2024-05-12,1,2.0,1,100.0,Staff,1.0,False,False,False
2024-05-14,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-05-15,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-05-16,1,3.0,0,0.0,Neutral,1.0,False,False,False
2024-05-19,1,2.0,1,100.0,Waiting Time,1.0,False,False,False
2024-05-21,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-05-22,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-05-25,1,4.0,1,100.0,Communication,1.0,False,False,False
2024-05-27,1,2.0,1,100.0,Communication,1.0,False,False,False
2024-05-28,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-06-01,1,1.0,1,100.0,Treatment,1.0,False,False,False
2024-06-10,3,3.3333333333333335,1,33.3,Positive,1.0,False,True,True
2024-06-19,1,5.0,0,0.0,Positive,1.29,False,False,False
2024-11-15,1,4.0,0,0.0,Positive,1.29,False,False,False
2025-01-15,1,4.0,0,0.0,Positive,1.29,False,False,False
2025-01-20,1,5.0,0,0.0,Positive,1.29,False,False,False
2025-02-08,1,5.0,0,0.0,Positive,1.29,False,False,False
2025-03-10,1,5.0,0,0.0,Positive,1.29,False,False,False
2025-03-12,1,5.0,0,0.0,Positive,1.29,False,False,False
2025-03-15,1,5.0,0,0.0,Positive,1.0,False,False,False
2025-03-18,1,5.0,0,0.0,Positive,1.0,False,False,False
2025-03-20,1,5.0,0,0.0,Positive,1.0,False,False,False
2025-03-22,1,5.0,0,0.0,Positive,1.0,False,False,False
2025-04-05,1,5.0,0,0.0,Positive,1.0,False,False,False
2025-04-08,1,5.0,0,0.0,Positive,1.0,False,False,False
2025-04-10,13,4.384615384615385,2,15.4,Positive,1.0,True,True,True
2025-04-12,1,5.0,0,0.0,Positive,2.71,False,False,False
2025-04-14,1,5.0,0,0.0,Positive,2.71,False,False,False
